========================================================================
ERROR BREAKDOWN (percentages of the total):
    model      config test_set  empty  prompt_echo  truncation_suspect  syntax_error  error_total  valid
 DeepSeek  sft_ppo_Rs      ppo    4.2         26.5                24.7          31.7         87.1   13.0
QwenCoder         dpo      dpo   87.0          1.0                 7.0           5.0        100.0    0.0
QwenCoder         dpo      ppo   52.0          0.2                21.1          18.2         91.5    8.5
QwenCoder     ppo_Rcp      dpo   48.0          0.0                22.0          17.0         87.0   13.0
QwenCoder     ppo_Rcp      ppo   16.1          0.2                32.7          29.0         78.0   22.0
QwenCoder     ppo_Rcs      dpo   50.0          0.0                33.0          15.0         98.0    2.0
QwenCoder     ppo_Rcs      ppo   14.2          0.8                34.8          30.7         80.5   19.6
QwenCoder      ppo_Rp      dpo   43.0          0.0                35.0          19.0         97.0    3.0
QwenCoder      ppo_Rp      ppo   10.6          1.1                38.1          28.7         78.5   21.6
QwenCoder      ppo_Rs      dpo   51.0          0.0                36.0          11.0         98.0    2.0
QwenCoder      ppo_Rs      ppo   29.6          0.6                36.7          23.2         90.1    9.9
QwenCoder  pretrained      dpo   56.0          0.0                26.0          15.0         97.0    3.0
QwenCoder  pretrained      ppo   28.4          1.2                24.6          27.8         82.0   18.0
QwenCoder         sft      dpo   12.0          0.0                55.0          31.0         98.0    2.0
QwenCoder         sft      ppo   14.5          1.1                52.2          26.1         93.9    6.1
QwenCoder     sft_dpo      dpo   13.0          0.0                56.0          31.0        100.0    0.0
QwenCoder     sft_dpo      ppo   15.4          0.6                53.8          27.9         97.7    2.3
QwenCoder sft_ppo_Rcp      dpo   44.0          1.0                28.0          23.0         96.0    4.0
QwenCoder sft_ppo_Rcp      ppo   28.9          0.7                37.9          24.7         92.2    7.8
QwenCoder sft_ppo_Rcs      dpo    2.0          0.0                72.0          25.0         99.0    1.0
QwenCoder sft_ppo_Rcs      ppo    3.8          0.4                70.9          21.5         96.6    3.3
QwenCoder  sft_ppo_Rp      dpo   22.0          1.0                48.0          28.0         99.0    1.0
QwenCoder  sft_ppo_Rp      ppo   15.9          1.8                51.7          26.2         95.6    4.4
QwenCoder  sft_ppo_Rs      dpo    7.0          0.0                64.0          27.0         98.0    2.0
QwenCoder  sft_ppo_Rs      ppo   11.8          1.2                57.6          25.8         96.4    3.7

========================================================================
LENGTHS/EMPTY OUTPUTS BY REWARD TYPE:
    model pipeline  reward_type test_set    n  pct_empty  pct_trivial  median_tokens  mean_tokens
  CodeGPT      ppo    composite      dpo  200        0.0          0.0          473.5        470.4
  CodeGPT      ppo    composite      ppo 2400        0.1          0.0          469.0        465.5
  CodeGPT      ppo quality_only      dpo  200        0.0          0.0          469.5        471.1
  CodeGPT      ppo quality_only      ppo 2400        0.0          0.0          467.0        466.3
  CodeGPT  sft_ppo    composite      dpo  200        0.0          0.0          330.5        330.2
  CodeGPT  sft_ppo    composite      ppo 2400        0.9          0.3          331.0        326.2
  CodeGPT  sft_ppo quality_only      dpo  200        0.0          0.0          345.0        347.2
  CodeGPT  sft_ppo quality_only      ppo 2400        0.0          0.0          347.0        348.3
  CodeGen      ppo    composite      dpo  200        0.0          0.0          320.0        319.4
  CodeGen      ppo    composite      ppo 2400        0.0          0.1          351.0        341.0
  CodeGen      ppo quality_only      dpo  200        0.0          1.5          378.5        335.7
  CodeGen      ppo quality_only      ppo 2400        0.0          0.1          413.0        361.5
  CodeGen  sft_ppo    composite      dpo  200        0.0          2.5          301.5        279.5
  CodeGen  sft_ppo    composite      ppo 2400        0.1          1.6          282.0        264.8
  CodeGen  sft_ppo quality_only      dpo  200        0.0          1.0          272.0        286.3
  CodeGen  sft_ppo quality_only      ppo 2400        0.0          1.1          252.0        242.7
 DeepSeek      ppo    composite      dpo  200        9.5          1.0          184.0        172.8
 DeepSeek      ppo    composite      ppo 2400        3.4          0.7          124.0        124.1
 DeepSeek      ppo quality_only      dpo  200       11.5          0.0          204.0        200.8
 DeepSeek      ppo quality_only      ppo 2400        3.5          0.8          124.0        122.9
