file,n_rows,model,config,test_set,split
QwenCoder_ppo_inference_semgrep_cleaned.jsonl,100,QwenCoder,ppo_Rs,dpo,
QwenCoder_ppo_inference_test_insecure_custom_pylint_cleaned.jsonl,600,QwenCoder,ppo_Rcp,ppo,insecure
QwenCoder_ppo_inference_test_insecure_custom_semgrep_cleaned.jsonl,600,QwenCoder,ppo_Rcs,ppo,insecure
QwenCoder_ppo_inference_test_insecure_pylint_cleaned.jsonl,600,QwenCoder,ppo_Rp,ppo,insecure
QwenCoder_ppo_inference_test_insecure_semgrep_cleaned.jsonl,600,QwenCoder,ppo_Rs,ppo,insecure
QwenCoder_ppo_inference_test_secure_custom_pylint_cleaned.jsonl,600,QwenCoder,ppo_Rcp,ppo,secure
QwenCoder_ppo_inference_test_secure_custom_semgrep_cleaned.jsonl,600,QwenCoder,ppo_Rcs,ppo,secure
QwenCoder_ppo_inference_test_secure_pylint_cleaned.jsonl,600,QwenCoder,ppo_Rp,ppo,secure
QwenCoder_ppo_inference_test_secure_semgrep_cleaned.jsonl,600,QwenCoder,ppo_Rs,ppo,secure
CodeGPT_pretrained_inference_cleaned.jsonl,100,CodeGPT,pretrained,dpo,
CodeGPT_pretrained_inference_test_insecure_cleaned.jsonl,600,CodeGPT,pretrained,ppo,insecure
CodeGPT_pretrained_inference_test_secure_cleaned.jsonl,600,CodeGPT,pretrained,ppo,secure
CodeGen_pretrained_inference_cleaned.jsonl,100,CodeGen,pretrained,dpo,
CodeGen_pretrained_inference_test_insecure_cleaned.jsonl,600,CodeGen,pretrained,ppo,insecure
CodeGen_pretrained_inference_test_secure_cleaned.jsonl,600,CodeGen,pretrained,ppo,secure
DeepSeek_pretrained_inference_cleaned.jsonl,100,DeepSeek,pretrained,dpo,
DeepSeek_pretrained_inference_test_insecure_cleaned.jsonl,600,DeepSeek,pretrained,ppo,insecure
DeepSeek_pretrained_inference_test_secure_cleaned.jsonl,600,DeepSeek,pretrained,ppo,secure
QwenCoder_pretrained_inference_cleaned.jsonl,100,QwenCoder,pretrained,dpo,
QwenCoder_pretrained_inference_test_insecure_cleaned.jsonl,600,QwenCoder,pretrained,ppo,insecure
QwenCoder_pretrained_inference_test_secure_cleaned.jsonl,600,QwenCoder,pretrained,ppo,secure
CodeGPT_finetuned_inference_cleaned.jsonl,100,CodeGPT,sft,dpo,
CodeGPT_finetuned_inference_test_insecure_cleaned.jsonl,600,CodeGPT,sft,ppo,insecure
CodeGPT_finetuned_inference_test_secure_cleaned.jsonl,600,CodeGPT,sft,ppo,secure
CodeGen_finetuned_inference_cleaned.jsonl,100,CodeGen,sft,dpo,
CodeGen_finetuned_inference_test_insecure_cleaned.jsonl,600,CodeGen,sft,ppo,insecure
CodeGen_finetuned_inference_test_secure_cleaned.jsonl,600,CodeGen,sft,ppo,secure
DeepSeek_finetuned_inference_cleaned.jsonl,100,DeepSeek,sft,dpo,
DeepSeek_finetuned_inference_test_insecure_cleaned.jsonl,600,DeepSeek,sft,ppo,insecure
DeepSeek_finetuned_inference_test_secure_cleaned.jsonl,600,DeepSeek,sft,ppo,secure
QwenCoder_finetuned_inference_cleaned.jsonl,100,QwenCoder,sft,dpo,
